	correlation with metacell	method	celltype
134	0.18785050818479113	Raw	EX1
135	0.18854060950542945	Raw	EX1
136	0.22513519305301727	Raw	EX1
137	0.1925891817079976	Raw	EX1
138	0.17354610777734047	Raw	EX1
139	0.18037890729171838	Raw	EX1
140	0.20314109766954905	Raw	EX1
141	0.19709659893567852	Raw	EX1
142	0.17665166910459495	Raw	EX1
143	0.20471652856776723	Raw	EX1
144	0.17071773644997967	Raw	EX1
145	0.1769218053206558	Raw	EX1
146	0.2071821054477538	Raw	EX1
147	0.16264157886442873	Raw	EX1
148	0.17703754627514215	Raw	EX1
149	0.18981471980423015	Raw	EX1
150	0.186285182877706	Raw	EX1
151	0.17805185284766983	Raw	EX1
152	0.22978009278711103	Raw	EX1
153	0.19041051447291837	Raw	EX1
154	0.17748803323984255	Raw	EX1
155	0.2115835445017359	Raw	EX1
156	0.19902780465874023	Raw	EX1
157	0.18531497677217715	Raw	EX1
158	0.11675301583118883	Raw	EX1
159	0.23337830489098194	Raw	EX1
160	0.20773271672908158	Raw	EX1
161	0.1591108724618778	Raw	EX1
162	0.18206078850592128	Raw	EX1
163	0.14367349473951993	Raw	EX1
164	0.15441397371661028	Raw	EX1
165	0.14809629959232606	Raw	EX1
166	0.2071465855518988	Raw	EX1
167	0.21596585863564965	Raw	EX1
168	0.10932015831177967	Raw	EX1
169	0.1886666381403786	Raw	EX1
170	0.15762703446895204	Raw	EX1
171	0.19240350896422176	Raw	EX1
172	0.15186308128357962	Raw	EX1
173	0.16302347616693935	Raw	EX1
174	0.15309256902019372	Raw	EX1
175	0.15915135237883452	Raw	EX1
176	0.19784422304770796	Raw	EX1
177	0.19619647468321308	Raw	EX1
178	0.17643325838151339	Raw	EX1
179	0.12551670356550182	Raw	EX1
180	0.17925842138354128	Raw	EX1
181	0.1644656382349747	Raw	EX1
182	0.19537281615653895	Raw	EX1
183	0.16723548768856733	Raw	EX1
184	0.1936881551895842	Raw	EX1
185	0.1485416760223455	Raw	EX1
186	0.1523275444590029	Raw	EX1
187	0.20414909247907204	Raw	EX1
188	0.1884426701213901	Raw	EX1
189	0.17195041808728065	Raw	EX1
190	0.14221487283344125	Raw	EX1
191	0.15722821866333833	Raw	EX1
192	0.20385365378782558	Raw	EX1
193	0.13589279499609164	Raw	EX1
194	0.21043797533057415	Raw	EX1
195	0.1620966568383216	Raw	EX1
196	0.18173183157105147	Raw	EX1
197	0.20241485032201026	Raw	EX1
198	0.17882152896087972	Raw	EX1
199	0.15167310668683576	Raw	EX1
200	0.15221253181691952	Raw	EX1
201	0.17284708163653492	Raw	EX1
202	0.15753895201333395	Raw	EX1
203	0.13474493156194411	Raw	EX1
204	0.20215519397943646	Raw	EX1
205	0.1521175806438555	Raw	EX1
206	0.1702393400048501	Raw	EX1
207	0.15625762873929186	Raw	EX1
208	0.1511163137359066	Raw	EX1
209	0.1628220431705486	Raw	EX1
210	0.17085119579954242	Raw	EX1
211	0.1942570921091726	Raw	EX1
212	0.13227426652459845	Raw	EX1
213	0.19196567892773872	Raw	EX1
214	0.11016349474117323	Raw	EX1
215	0.16232520553745142	Raw	EX1
216	0.16313985828517436	Raw	EX1
217	0.12072231725887002	Raw	EX1
218	0.1703220253059309	Raw	EX1
219	0.15050277203830076	Raw	EX1
220	0.16795269177909275	Raw	EX1
221	0.14344419201155525	Raw	EX1
222	0.14038417254430047	Raw	EX1
223	0.12289774173308354	Raw	EX1
224	0.14789282111528188	Raw	EX1
225	0.1991693842014187	Raw	EX1
226	0.10402916745728286	Raw	EX1
227	0.1665073731475956	Raw	EX1
228	0.1460883120882114	Raw	EX1
229	0.12983088682420174	Raw	EX1
230	0.18308076775151022	Raw	EX1
231	0.22819388757310197	Raw	EX1
232	0.2187212928059807	Raw	EX1
233	0.20005924021552182	Raw	EX1
234	0.2233331604028581	Raw	EX1
235	0.22512872725204375	Raw	EX1
236	0.15193046146294475	Raw	EX1
237	0.1343641997163749	Raw	EX1
238	0.18314091864133444	Raw	EX1
239	0.22144597436328886	Raw	EX1
240	0.17592955791781348	Raw	EX1
241	0.18818305408593267	Raw	EX1
242	0.2209574020961121	Raw	EX1
243	0.1793828225569236	Raw	EX1
244	0.1786852367926118	Raw	EX1
245	0.14917570267336075	Raw	EX1
246	0.1920873642721165	Raw	EX1
247	0.19951944208185038	Raw	EX1
248	0.14257063881982054	Raw	EX1
249	0.2173057788520455	Raw	EX1
250	0.18591351807903056	Raw	EX1
251	0.17424001571849868	Raw	EX1
252	0.18514905712918375	Raw	EX1
253	0.20296824513598213	Raw	EX1
254	0.13189163815400837	Raw	EX1
255	0.19227170507672714	Raw	EX1
256	0.15465894091659463	Raw	EX1
257	0.1519504691158921	Raw	EX1
258	0.20481096431758306	Raw	EX1
259	0.2033323153251237	Raw	EX1
260	0.1607169111387473	Raw	EX1
261	0.15777355207935365	Raw	EX1
262	0.18444636969296596	Raw	EX1
263	0.1740160141411043	Raw	EX1
264	0.1487873456798638	Raw	EX1
265	0.11829031729871033	Raw	EX1
266	0.14717129579109436	Raw	EX1
267	0.2114959184242319	Raw	EX1
268	0.1717478799281641	Raw	EX1
269	0.1364780025752228	Raw	EX1
270	0.19549892625863566	Raw	EX1
271	0.20173553978486222	Raw	EX1
272	0.19008303932974074	Raw	EX1
273	0.15598868861060444	Raw	EX1
274	0.15533028479252978	Raw	EX1
275	0.15926596211178376	Raw	EX1
276	0.1518502818156416	Raw	EX1
277	0.12673765830508044	Raw	EX1
278	0.12647684953014232	Raw	EX1
279	0.1921862006258813	Raw	EX1
280	0.21904134997832186	Raw	EX1
281	0.14204854642980883	Raw	EX1
282	0.20203033629356953	Raw	EX1
283	0.15522441147987517	Raw	EX1
284	0.11071380031103531	Raw	EX1
285	0.16817871316319102	Raw	EX1
